x,f_linear,g_polynomial,h_challenge
-19.8,-33.5134,-9990.9885,0.6239
-19.8,-34.5023,-9822.5702,-0.4917
-19.8,-34.5188,-9108.1489,-0.354
-19.7,-35.804,-8469.375,-0.4009
-19.6,-35.5258,-8901.9693,0.4016
-19.6,-37.0052,-9236.305,0.4367
-19.6,-30.7008,-9080.1303,0.2121
-19.5,-36.4877,-9574.5789,0.5794
-19.5,-35.3858,-8647.1173,-0.6013
-19.5,-35.4368,-8508.2085,0.8213
-19.5,-32.2102,-9175.4202,0.7493
-19.4,-34.3899,-9055.2451,0.357
-19.4,-31.3045,-8687.2849,0.8801
-19.4,-35.147,-9038.5839,-0.8391
-19.3,-33.042,-8725.3833,-0.2714
-19.3,-35.2707,-7642.4561,-0.3769
-19.3,-29.3097,-8815.8299,0.3515
-19.3,-35.9752,-8871.4871,-0.5343
-19.2,-32.7804,-8889.4189,0.3713
-19.2,-32.1324,-8193.552,0.6779
-19.2,-32.5724,-8656.2601,0.3402
-19.1,-33.5706,-8764.8975,0.1365
-19.1,-33.4596,-7779.559,-0.4993
-19.0,-32.9124,-7606.1985,-0.4268
-19.0,-33.294,-8616.2118,0.6214
-19.0,-31.0722,-9249.27,0.3863
-19.0,-28.579,-7812.2432,-0.0229
-18.9,-33.915,-8535.3239,-0.2102
-18.9,-35.5396,-7797.6962,-1.0141
-18.9,-32.9766,-9178.0609,-0.5366
-18.9,-27.6406,-7746.7103,0.9545
-18.8,-34.2073,-8676.818,-0.639
-18.8,-29.3218,-7705.8499,0.0959
-18.8,-29.2446,-8064.0955,0.5049
-18.7,-33.5072,-8427.6327,-0.624
-18.7,-31.262,-8154.1812,0.0959
-18.6,-28.9432,-7488.1368,0.475
-18.6,-32.9583,-7778.3488,0.0122
-18.5,-32.4072,-7420.9185,1.4427
-18.5,-33.1634,-6724.9047,-0.8258
-18.5,-34.0295,-8495.2458,0.5379
-18.5,-33.2986,-6904.5187,-0.0779
-18.4,-34.2479,-7543.966,0.397
-18.4,-31.7318,-8045.536,0.2317
-18.4,-33.3399,-8261.3008,-0.3556
-18.4,-31.3324,-7690.7042,0.1255
-18.3,-34.7118,-7019.5219,-0.9156
-18.2,-30.7382,-7429.5026,0.3175
-18.2,-29.7329,-6610.1505,0.165
-18.2,-35.3875,-8091.3158,0.3352
-18.2,-30.6519,-7371.7725,0.545
-18.2,-28.9447,-7991.9247,0.1997
-18.1,-33.6193,-7070.4651,0.0922
-18.1,-27.8549,-6808.8373,-0.4223
-17.9,-29.962,-7239.2599,-0.3334
-17.9,-32.21,-8330.9859,0.6161
-17.9,-30.9115,-6929.4049,0.7409
-17.9,-29.6833,-6810.5097,-0.0964
-17.8,-30.448,-6716.7646,0.0477
-17.7,-29.3225,-6192.2019,-0.4258
-17.7,-32.2413,-7345.6198,0.6129
-17.7,-30.0613,-6469.9849,0.3592
-17.7,-33.2274,-6213.8392,0.9971
-17.6,-30.4225,-7591.7098,-0.4111
-17.5,-31.8078,-6436.0491,-0.1595
-17.5,-31.4711,-6847.9649,0.1452
-17.4,-27.3278,-6531.2253,0.3538
-17.4,-27.6174,-6316.6258,-0.0772
-17.3,-28.3817,-6629.7913,-0.4051
-17.3,-31.7846,-6724.031,0.4721
-17.2,-30.0328,-6265.9318,0.3926
-17.2,-26.9738,-6826.631,-0.4261
-17.2,-29.1166,-6825.9206,0.7097
-17.1,-24.5613,-5841.2644,0.6173
-17.0,-28.2134,-6654.397,0.0992
-17.0,-28.6159,-5746.8437,0.0719
-17.0,-29.6182,-5848.7044,0.3091
-17.0,-28.7329,-6942.9034,-0.3988
-17.0,-29.3049,-6418.7823,0.0471
-16.9,-27.3838,-5383.0943,-1.0446
