x,f_linear,g_polynomial,h_challenge
-19.8,-34.6,-9344.352,-0.0155
-19.8,-34.6,-9344.352,-0.0155
-19.8,-34.6,-9344.352,-0.0155
-19.7,-34.4,-9211.433,-0.0146
-19.6,-34.2,-9079.776,-0.0135
-19.6,-34.2,-9079.776,-0.0135
-19.6,-34.2,-9079.776,-0.0135
-19.5,-34.0,-8949.375,-0.0123
-19.5,-34.0,-8949.375,-0.0123
-19.5,-34.0,-8949.375,-0.0123
-19.5,-34.0,-8949.375,-0.0123
-19.4,-33.8,-8820.224,-0.0108
-19.4,-33.8,-8820.224,-0.0108
-19.4,-33.8,-8820.224,-0.0108
-19.3,-33.6,-8692.317,-0.0092
-19.3,-33.6,-8692.317,-0.0092
-19.3,-33.6,-8692.317,-0.0092
-19.3,-33.6,-8692.317,-0.0092
-19.2,-33.4,-8565.648,-0.0074
-19.2,-33.4,-8565.648,-0.0074
-19.2,-33.4,-8565.648,-0.0074
-19.1,-33.2,-8440.211,-0.0054
-19.1,-33.2,-8440.211,-0.0054
-19.0,-33.0,-8316.0,-0.0034
-19.0,-33.0,-8316.0,-0.0034
-19.0,-33.0,-8316.0,-0.0034
-19.0,-33.0,-8316.0,-0.0034
-18.9,-32.8,-8193.009,-0.0012
-18.9,-32.8,-8193.009,-0.0012
-18.9,-32.8,-8193.009,-0.0012
-18.9,-32.8,-8193.009,-0.0012
-18.8,-32.6,-8071.232,0.0012
-18.8,-32.6,-8071.232,0.0012
-18.8,-32.6,-8071.232,0.0012
-18.7,-32.4,-7950.663,0.0035
-18.7,-32.4,-7950.663,0.0035
-18.6,-32.2,-7831.296,0.006
-18.6,-32.2,-7831.296,0.006
-18.5,-32.0,-7713.125,0.0085
-18.5,-32.0,-7713.125,0.0085
-18.5,-32.0,-7713.125,0.0085
-18.5,-32.0,-7713.125,0.0085
-18.4,-31.8,-7596.144,0.011
-18.4,-31.8,-7596.144,0.011
-18.4,-31.8,-7596.144,0.011
-18.4,-31.8,-7596.144,0.011
-18.3,-31.6,-7480.347,0.0134
-18.2,-31.4,-7365.728,0.0159
-18.2,-31.4,-7365.728,0.0159
-18.2,-31.4,-7365.728,0.0159
-18.2,-31.4,-7365.728,0.0159
-18.2,-31.4,-7365.728,0.0159
-18.1,-31.2,-7252.281,0.0182
-18.1,-31.2,-7252.281,0.0182
-17.9,-30.8,-7028.879,0.0227
-17.9,-30.8,-7028.879,0.0227
-17.9,-30.8,-7028.879,0.0227
-17.9,-30.8,-7028.879,0.0227
-17.8,-30.6,-6918.912,0.0247
-17.7,-30.4,-6810.093,0.0265
-17.7,-30.4,-6810.093,0.0265
-17.7,-30.4,-6810.093,0.0265
-17.7,-30.4,-6810.093,0.0265
-17.6,-30.2,-6702.416,0.0281
-17.5,-30.0,-6595.875,0.0295
-17.5,-30.0,-6595.875,0.0295
-17.4,-29.8,-6490.464,0.0306
-17.4,-29.8,-6490.464,0.0306
-17.3,-29.6,-6386.177,0.0314
-17.3,-29.6,-6386.177,0.0314
-17.2,-29.4,-6283.008,0.032
-17.2,-29.4,-6283.008,0.032
-17.2,-29.4,-6283.008,0.032
-17.1,-29.2,-6180.951,0.0322
-17.0,-29.0,-6080.0,0.0321
-17.0,-29.0,-6080.0,0.0321
-17.0,-29.0,-6080.0,0.0321
-17.0,-29.0,-6080.0,0.0321
-17.0,-29.0,-6080.0,0.0321
-16.9,-28.8,-5980.149,0.0316
-16.9,-28.8,-5980.149,0.0316
-16.9,-28.8,-5980.149,0.0316
-16.8,-28.6,-5881.392,0.0308
-16.7,-28.4,-5783.723,0.0297
-16.7,-28.4,-5783.723,0.0297
-16.7,-28.4,-5783.723,0.0297
-16.7,-28.4,-5783.723,0.0297
-16.6,-28.2,-5687.136,0.0281
-16.6,-28.2,-5687.136,0.0281
-16.6,-28.2,-5687.136,0.0281
-16.6,-28.2,-5687.136,0.0281
-16.6,-28.2,-5687.136,0.0281
-16.6,-28.2,-5687.136,0.0281
-16.5,-28.0,-5591.625,0.0263
-16.5,-28.0,-5591.625,0.0263
-16.5,-28.0,-5591.625,0.0263
-16.4,-27.8,-5497.184,0.024
-16.4,-27.8,-5497.184,0.024
-16.3,-27.6,-5403.807,0.0214
-16.3,-27.6,-5403.807,0.0214
-16.3,-27.6,-5403.807,0.0214
-16.3,-27.6,-5403.807,0.0214
-16.2,-27.4,-5311.488,0.0185
-16.2,-27.4,-5311.488,0.0185
-16.1,-27.2,-5220.221,0.0153
-16.1,-27.2,-5220.221,0.0153
-16.1,-27.2,-5220.221,0.0153
-16.0,-27.0,-5130.0,0.0117
-16.0,-27.0,-5130.0,0.0117
-16.0,-27.0,-5130.0,0.0117
-15.9,-26.8,-5040.819,0.0079
-15.9,-26.8,-5040.819,0.0079
