x,f_linear,g_polynomial,h_challenge
8.5,22.0,339.625,4.3709
8.1,21.2,283.101,4.9009
-16.7,-28.4,-5783.723,0.0297
1.1,7.2,3.591,1.1105
-10.7,-16.4,-1687.703,0.1126
-11.6,-18.2,-2104.736,0.0809
19.0,43.0,5440.0,6.6997
-10.6,-16.2,-1645.056,0.1108
2.5,10.0,-0.875,0.9867
-7.4,-9.8,-625.664,-0.2046
-19.1,-33.2,-8440.211,-0.0054
16.2,37.4,3223.968,-12.0627
-14.4,-23.8,-3823.824,-0.0542
-12.8,-20.6,-2759.312,-0.0179
-6.8,-8.6,-500.192,-0.1268
-15.8,-26.6,-4952.672,0.0039
5.5,16.0,56.875,-2.1196
7.7,20.4,233.073,4.6094
3.2,11.4,1.008,-0.1107
0.8,6.6,4.752,0.8418
-12.3,-19.6,-2472.327,0.0225
-18.5,-32.0,-7713.125,0.0085
19.2,43.4,5628.528,15.9729
14.9,34.8,2440.809,14.232
-20.0,-35.0,-9614.0,-0.0167
19.7,44.4,6118.713,38.6449
-8.6,-12.2,-934.496,-0.1315
12.2,29.4,1238.688,-4.11
18.0,41.0,4560.0,-27.4848
-9.6,-14.2,-1256.976,0.0256
19.6,44.2,6018.496,34.3713
-0.6,3.8,3.744,-0.5008
6.2,17.4,96.768,-0.2871
-14.3,-23.6,-3750.467,-0.0565
13.3,31.6,1664.377,9.5724
-8.4,-11.8,-877.344,-0.1593
-8.7,-12.4,-963.963,-0.1164
19.9,44.8,6322.459,46.4337
-4.2,-3.4,-142.848,0.3763
-5.9,-6.8,-344.519,0.1149
13.4,31.8,1707.264,10.7985
-14.5,-24.0,-3898.125,-0.0514
-12.4,-19.8,-2528.064,0.0139
-17.5,-30.0,-6595.875,0.0295
-11.8,-18.6,-2205.792,0.0655
18.3,41.6,4813.227,-20.2976
-5.2,-5.4,-247.968,0.3123
-1.9,1.2,-17.199,-0.6471
-17.8,-30.6,-6918.912,0.0247
-2.7,-0.4,-45.543,-0.2491
-15.4,-25.8,-4610.304,-0.0139
9.6,24.2,531.696,-1.1891
14.7,34.4,2332.863,15.998
-13.0,-21.0,-2880.0,-0.0312
19.5,44.0,5919.375,29.9152
-16.1,-27.2,-5220.221,0.0153
3.7,12.4,5.593,-1.1105
-2.8,-0.6,-50.112,-0.1913
-17.0,-29.0,-6080.0,0.0321
-4.8,-4.6,-201.552,0.3814
-7.6,-10.2,-671.616,-0.2117
5.3,15.6,47.817,-2.4022
8.2,21.4,296.608,4.8496
-12.2,-19.4,-2417.408,0.0312
-9.9,-14.8,-1366.239,0.0632
-16.9,-28.8,-5980.149,0.0316
7.4,19.8,199.584,3.948
2.2,9.4,-0.512,1.2554
3.3,11.6,1.677,-0.3052
-12.7,-20.4,-2700.243,-0.0105
8.7,22.4,370.443,3.7772
-6.0,-7.0,-360.0,0.0842
-19.5,-34.0,-8949.375,-0.0123
-15.5,-26.0,-4694.375,-0.0093
18.9,42.8,5347.329,2.2093
4.7,14.4,26.163,-2.5598
2.8,10.6,-0.608,0.5865
17.0,39.0,3780.0,-28.8074
-2.4,0.2,-33.264,-0.418
7.2,19.4,179.088,3.3498
-19.7,-34.4,-9211.433,-0.0146
-18.2,-31.4,-7365.728,0.0159
0.3,5.6,5.967,0.3138
15.1,35.2,2552.011,11.7046
7.5,20.0,210.375,4.2038
-13.7,-22.4,-3329.813,-0.0585
4.9,14.8,32.509,-2.6177
10.2,25.4,661.248,-5.3825
-9.2,-13.4,-1120.448,-0.0354
-11.0,-17.0,-1820.0,0.1108
3.4,11.8,2.464,-0.5044
13.6,32.2,1795.216,13.0424
-8.2,-11.4,-822.528,-0.1825
15.5,36.0,2784.375,4.5832
-2.0,1.0,-20.0,-0.6095
4.5,14.0,20.625,-2.4043
17.4,39.8,4080.384,-32.2214
5.8,16.6,72.352,-1.482
8.0,21.0,270.0,4.9003
-12.5,-20.0,-2584.625,0.0054
4.8,14.6,29.232,-2.6017
-9.0,-13.0,-1056.0,-0.0681
-18.4,-31.8,-7596.144,0.011
-13.4,-21.8,-3131.744,-0.0508
-4.7,-4.4,-190.883,0.3906
-19.3,-33.6,-8692.317,-0.0092
-18.1,-31.2,-7252.281,0.0182
-6.3,-7.6,-409.107,-0.0048
15.6,36.2,2844.576,2.4402
15.0,35.0,2496.0,13.0614
-6.9,-8.8,-519.849,-0.1455
1.0,7.0,4.0,1.0278
17.9,40.8,4477.599,-29.1708
18.7,42.4,5165.143,-6.2726
9.8,24.6,572.832,-2.6018
-14.0,-23.0,-3536.0,-0.0602
-12.1,-19.2,-2363.301,0.04
8.6,22.2,354.816,4.1013
15.8,36.6,2967.552,-2.1663
18.1,41.2,4643.401,-25.4386
-4.3,-3.6,-151.767,0.3877
-9.1,-13.2,-1087.911,-0.0517
-18.3,-31.6,-7480.347,0.0134
6.5,18.0,118.125,0.7893
-17.6,-30.2,-6702.416,0.0281
-2.5,0.0,-37.125,-0.363
15.2,35.4,2608.848,10.1683
17.8,40.6,4396.192,-30.4936
-3.3,-1.6,-76.797,0.0815
4.6,14.2,23.296,-2.4935
11.2,27.4,920.368,-9.1977
-5.5,-6.0,-286.875,0.2349
16.1,37.2,3158.541,-9.5625
-2.3,0.4,-29.627,-0.4708
-8.1,-11.2,-795.981,-0.1919
-0.5,4.0,4.375,-0.4338
14.1,33.2,2028.081,16.7653
6.6,18.2,125.856,1.1662
1.9,8.8,0.319,1.3838
18.2,41.4,4727.808,-23.0392
-16.4,-27.8,-5497.184,0.024
-6.1,-7.2,-375.921,0.0538
9.2,23.4,455.328,1.4034
-4.5,-4.0,-170.625,0.3974
2.7,10.4,-0.777,0.7334
-0.2,4.6,5.632,-0.1909
-14.1,-23.2,-3606.561,-0.0596
-8.9,-12.8,-1024.709,-0.0845
-3.5,-2.0,-89.375,0.1742
16.4,37.8,3357.504,-16.9582
-19.4,-33.8,-8820.224,-0.0108
8.9,22.8,403.029,2.971
17.7,40.4,4315.773,-31.4539
-5.0,-5.0,-224.0,0.3528
-19.0,-33.0,-8316.0,-0.0034
-0.7,3.6,2.997,-0.5601
