x,f_linear,g_polynomial,h_challenge
8.5,22.9934,39.9375,4.419
8.1,20.9235,285.7228,4.6698
-16.7,-27.1046,-5760.2327,-0.1875
1.1,10.2461,-221.4417,0.9559
-10.7,-16.8683,-1376.278,0.2237
-11.6,-18.6683,-2638.5462,-0.1585
19.0,46.1584,5368.8103,7.3276
-10.6,-14.6651,-1584.9082,-0.3365
2.5,9.0611,256.3444,0.8933
-7.4,-8.7149,-269.8566,-0.4245
-19.1,-34.1268,-9002.532,0.7181
16.2,36.4685,2456.9109,-11.9644
-14.4,-23.3161,-3184.9856,0.4617
-12.8,-24.4266,-2593.155,-0.7607
-6.8,-12.0498,-874.4353,0.0067
-15.8,-27.7246,-4177.096,0.4487
5.5,13.9743,114.7123,-2.0785
7.7,21.0285,822.7216,5.1421
3.2,9.584,34.7672,-0.3693
0.8,3.7754,1035.126,1.5465
-12.3,-16.6687,-1594.6566,1.1719
-18.5,-32.4516,-7837.6071,-0.1729
19.2,43.5351,6114.3135,15.7501
14.9,31.9505,2763.497,14.9587
-20.0,-36.0888,-8929.6842,0.7731
19.7,44.6218,5636.2513,38.3835
-8.6,-14.502,-591.4703,-0.3416
12.2,30.1514,1767.9002,-4.2509
18.0,39.7987,3680.6303,-28.157
-9.6,-14.7834,-1848.6053,-0.4337
19.6,42.9966,4998.8799,33.8692
-0.6,7.5046,-130.9594,-0.8847
6.2,17.373,455.5391,-0.3044
-14.3,-25.7154,-2999.2885,0.0606
13.3,33.2451,1701.4244,10.3477
-8.4,-14.2417,-63.0362,-0.6585
-8.7,-11.9823,-1654.0137,0.3758
19.9,40.8807,5470.7678,46.3267
-4.2,-6.0564,-170.6218,0.3516
-5.9,-6.4063,-152.4863,0.4523
13.4,33.2769,1690.9166,10.2371
-14.5,-23.6573,-4931.8461,0.1398
-12.4,-20.0313,-2572.624,0.0971
-17.5,-30.6022,-7248.1098,0.2757
-11.8,-21.557,-1870.9557,0.2101
18.3,40.1603,4996.5261,-19.0699
-5.2,-6.3213,-717.9079,-0.0066
-1.9,3.3142,-274.1325,-0.9126
-17.8,-29.9128,-7448.5188,-0.2869
-2.7,-3.9261,-76.8825,-0.5268
-15.4,-25.1518,-4132.7328,-0.3326
9.6,23.4298,38.833,-0.5946
14.7,33.0462,2584.8863,16.7083
-13.0,-19.7766,-3145.1288,-0.3166
19.5,46.062,5522.9386,29.499
-16.1,-25.3374,-5273.7362,0.251
3.7,10.7216,-512.0282,-1.3866
-2.8,-1.2184,-326.9367,0.1252
-17.0,-28.3375,-6678.9389,0.1336
-4.8,-2.6489,780.8106,-0.3765
-7.6,-11.1583,-653.9842,0.5621
5.3,15.2287,-302.0458,-1.5043
8.2,19.1873,403.598,4.5432
-12.2,-21.7924,-2473.572,-0.1627
-9.9,-13.1749,-1476.7238,0.2061
-16.9,-26.0875,-5673.0656,0.1988
7.4,19.656,578.3379,4.2773
2.2,11.4071,-265.7626,2.2605
3.3,12.3233,-286.2321,-0.3937
-12.7,-21.6902,-2837.7688,-0.4096
8.7,23.1228,-780.5176,3.0875
-6.0,-3.9239,-1117.5955,-0.2813
-19.5,-34.0717,-8265.9379,-0.0289
-15.5,-22.8707,-3871.8911,0.888
18.9,37.5605,5222.811,1.9505
4.7,16.0438,314.4415,-2.4479
2.8,10.7741,155.0171,0.5783
17.0,38.402,5319.4404,-28.2132
-2.4,0.3835,526.5235,0.8455
7.2,15.4249,115.1292,3.0844
-19.7,-34.8393,-9689.2032,-0.2593
-18.2,-30.6858,-8168.9512,0.538
0.3,8.5558,107.6988,0.6547
15.1,34.1635,2173.8356,12.628
7.5,18.383,-500.7519,4.4958
-13.7,-23.4035,-3653.0994,-0.2381
4.9,16.6308,-508.265,-2.3224
10.2,26.0575,1504.8188,-4.8281
-9.2,-14.4595,-679.6281,0.3748
-11.0,-15.9735,-1823.9863,0.3644
3.4,11.9942,742.4361,0.0289
13.6,34.1373,1833.9002,13.627
-8.2,-12.8041,-1253.1701,0.5086
15.5,35.3447,3545.937,4.9076
-2.0,0.2158,249.455,-0.6931
4.5,11.073,-497.9981,-2.3309
17.4,40.3922,3985.2147,-31.6181
5.8,17.1221,-365.4571,-1.8905
8.0,21.0102,-421.3999,5.0846
-12.5,-20.4692,-2121.5362,-0.1913
4.8,11.7693,983.9403,-2.5873
-9.0,-13.8413,-1755.2838,0.5711
-18.4,-32.4854,-7314.6594,0.1065
-13.4,-23.4046,-3457.0653,-0.0276
-4.7,-4.7226,-434.4457,-0.2893
-19.3,-32.7919,-8988.514,0.3639
-18.1,-27.4276,-7684.2764,0.3409
-6.3,-7.2508,-384.8462,1.0768
15.6,36.7151,2429.1009,2.2863
15.0,34.8511,2631.2284,13.171
-6.9,-12.6375,-544.9681,-0.0208
1.0,6.947,-115.474,1.8165
17.9,40.9205,4023.8172,-29.2184
18.7,47.3265,4876.7573,-6.1331
9.8,24.2153,950.5276,-2.2979
-14.0,-22.3969,-3285.5414,0.0331
-12.1,-19.2694,-2852.0786,-0.1832
8.6,19.8626,404.4822,4.1983
15.8,38.8856,3343.2456,-1.6295
18.1,42.7039,3808.6984,-25.9519
-4.3,-2.0179,119.9131,0.4542
-9.1,-15.0188,-1419.2229,-0.4018
-18.3,-28.7944,-7195.0477,0.6109
6.5,15.1963,-263.5046,0.0277
-17.6,-29.0263,-7604.8571,-0.2514
-2.5,4.3809,-850.8962,-0.1744
15.2,33.4189,2632.8905,10.9511
17.8,39.4674,4526.0533,-30.5265
-3.3,-1.4007,-528.9553,-0.1961
4.6,13.193,342.5922,-1.5529
11.2,24.2987,89.608,-9.9217
-5.5,-5.8629,-319.9149,-0.8645
16.1,35.0754,2553.0329,-9.3425
-2.3,1.3472,-355.5451,-0.7218
-8.1,-13.0388,-772.2817,-0.7025
-0.5,7.0999,-425.8317,-0.0796
14.1,31.6335,1835.8032,16.8872
6.6,17.5559,629.0024,0.8842
1.9,10.427,-288.1269,0.7436
18.2,38.9383,5145.6541,-22.603
-16.4,-27.3451,-6062.0374,0.3491
-6.1,-4.5857,-111.0189,0.0042
9.2,20.185,1176.1123,2.3267
-4.5,-3.6307,-1406.4473,-0.1376
2.7,10.9198,-399.2246,-0.0294
-0.2,6.1636,294.1681,-0.5369
-14.1,-25.6739,-3708.0837,-0.0824
-8.9,-15.4409,-839.1361,0.0372
-3.5,-0.9561,-391.3676,0.0536
16.4,38.394,3400.7989,-16.7822
-19.4,-33.299,-8898.0626,-0.6366
8.9,23.4929,986.92,3.6929
17.7,39.04,4442.9834,-31.495
-5.0,-4.5355,-55.1987,0.9114
-19.0,-32.4139,-8521.9385,0.168
-0.7,2.1713,-240.8061,-0.3317
-9.7,-10.6685,-1509.0121,0.324
-11.9,-17.8523,-2060.2729,0.2811
12.0,26.6174,959.5078,-5.5933
13.5,33.3131,1895.7624,12.6247
17.6,38.2506,5274.0364,-31.9579
0.9,8.3742,439.9514,1.2923
12.5,32.3172,1183.6132,-0.8529
-3.2,-3.0414,529.679,0.7509
15.4,37.7268,2520.9863,6.2572
-11.1,-16.3744,-2884.6333,1.0085
-0.8,5.0441,-501.9152,-0.6314
-3.7,1.3936,-1038.509,-0.4626
-5.3,-6.0908,-436.2937,0.3524
2.9,9.2925,8.8582,0.0868
-10.8,-18.379,-892.8533,0.5334
-13.1,-22.8316,-2778.1673,-0.3633
-7.7,-10.5542,-804.9433,-0.4349
-10.4,-15.1177,-1147.2012,-0.8414
-5.7,-5.8466,-1420.4207,-0.0501
10.4,27.4544,826.4313,-7.8382
-10.3,-15.574,-1135.9544,-0.6942
3.1,14.1071,-738.8421,0.4575
-13.2,-21.9293,-2432.251,0.3506
-17.7,-24.9597,-6640.8448,0.2392
-16.3,-26.3487,-5611.451,-0.4621
-5.6,-7.9143,15.7349,0.1821
-7.8,-12.7418,415.6344,-0.2116
12.9,31.7649,1590.8821,3.7425
-1.8,0.9531,109.5183,0.0723
-13.3,-20.172,-3297.1774,0.3919
11.4,28.7465,554.1818,-9.0985
9.0,22.8543,835.1679,2.5066
2.0,7.3064,-428.0419,1.4607
11.8,25.5703,1139.6551,-8.366
-0.4,3.307,-233.9327,-0.4831
-7.5,-8.2872,-408.8851,-0.5503
-5.4,-5.3718,-106.6729,-0.2384
9.4,21.3085,1011.314,0.0218
-11.4,-17.4536,-2261.7922,0.9928
13.7,33.1706,1705.3555,14.3509
1.8,6.8323,-488.7099,1.1102
13.8,32.9075,1663.9654,15.1965
0.2,5.5164,194.6982,0.9065
11.0,24.7141,1242.4943,-8.5626
12.7,31.1156,960.8403,1.7191
-1.7,2.7216,422.63,-1.0293
3.9,14.9661,686.1979,-1.1512
8.4,23.9076,531.5815,4.7821
12.1,26.4447,2142.4189,-4.6091
8.3,19.7243,-76.3676,5.0624
-7.1,-8.1699,-1182.9784,0.3486
-16.2,-26.3724,-6200.8481,-0.2491
-18.9,-31.7699,-7444.9868,0.6575
7.1,26.9055,496.5538,3.1146
-1.5,3.1418,-35.6673,0.2986
2.3,11.8711,139.2913,0.8367
-8.8,-10.692,-1556.7765,0.7674
-2.1,2.1028,1199.875,-0.4682
12.6,29.5695,1448.5466,0.0922
6.1,18.7179,144.9384,-0.8589
-8.3,-13.1457,-486.7637,-0.3317
16.9,38.3264,3947.7736,-27.077
7.8,19.6293,356.934,5.0133
18.5,42.1637,4591.8878,-14.1393
10.1,29.8293,874.0952,-4.7242
16.3,33.8655,4231.2992,-13.4659
-3.6,-0.8275,576.614,1.0792
11.7,25.1746,1868.3463,-7.6921
-6.4,-8.7439,-681.9918,-0.0134
-4.6,-2.0221,-675.3784,0.456
-0.1,4.9286,-57.0345,0.2089
-0.3,2.2445,33.1755,-0.7897
19.3,42.1694,6271.4928,20.5361
-19.8,-33.2408,-10190.5843,-0.8498
0.4,4.3393,770.5992,0.6215
-8.5,-11.5671,-984.6289,0.1777
18.8,42.6911,5042.2715,-2.3691
3.8,11.2968,-499.1402,-0.5213
-17.4,-25.5121,-7317.8923,-0.5823
-8.0,-9.7322,-358.4147,-0.9319
10.7,22.3497,820.442,-8.0187
2.4,10.1729,-645.7964,1.6151
17.3,38.2764,3356.3176,-30.9678
6.8,20.3049,-25.6203,1.6958
11.6,26.615,1874.7668,-7.8335
17.1,38.9705,3723.8753,-30.1016
-7.3,-8.59,-1355.0485,-0.2838
-12.6,-18.4685,-2764.8875,0.4391
12.3,27.1994,1137.6452,-2.7549
-17.1,-29.869,-7529.3943,-0.756
-11.7,-19.3499,-2182.0204,0.8117
13.1,29.8933,1465.2837,7.6768
-9.3,-10.0691,-805.5138,-0.3322
5.0,15.81,960.478,-2.4087
9.7,21.8782,1115.2955,-1.6441
-6.7,-6.5643,-615.4673,0.0243
4.4,18.0443,-535.119,-2.5694
-1.6,3.8649,1276.7439,-1.0616
9.1,20.1613,467.0402,1.9566
-15.6,-27.1685,-4772.4914,0.5816
16.8,41.1338,3623.4095,-25.2805
-13.5,-23.4153,-3097.8326,-0.2393
-11.5,-17.1124,-2127.5552,0.4736
4.2,14.9493,-273.103,-3.4432
-1.4,0.3461,-279.4135,-0.1704
-4.1,-3.3191,-150.6376,-0.5095
-18.8,-39.0825,-8342.9444,-0.18
-16.5,-30.0488,-5948.0479,-0.5335
-17.2,-29.9051,-6229.7929,-0.6153
-3.0,-3.4956,-187.4886,0.503
-5.8,-3.3352,422.5245,-0.0883
16.0,34.1397,1768.5151,-6.8897
15.3,34.7199,3212.2704,8.438
2.1,9.4615,622.7636,1.5523
-10.5,-13.1175,-2639.8201,0.1461
-14.9,-27.6717,-4376.2328,-0.6782
4.0,15.3263,-175.7204,-1.1862
9.9,24.8205,-109.5968,-3.5607
10.5,24.037,344.2167,-7.962
-2.2,1.5242,-581.4959,-0.7348
-15.9,-26.4019,-4164.6838,0.7583
11.1,25.9996,1359.7302,-8.7321
0.6,6.3396,641.1535,0.4623
5.4,15.0294,413.06,-2.4501
13.2,31.627,1057.6821,8.136
-19.6,-32.8757,-9342.0361,1.0249
5.6,19.372,306.4633,-1.7437
